X,Y,Z,val,coord,feature_name,dip,strike,event
437.104338,847.015279,4000.0,,0.0,,89.999654,179.999654,1.0
437.104338,847.015279,4000.0,,0.0,,89.999654,90.0,2.0
437.104338,847.015279,4000.0,,0.0,,89.998654,132.00016200000002,3.0
437.104338,847.015279,4000.0,,0.0,,72.15393900000001,351.574651,4.0
1062.167129,5964.301876,4000.0,,0.0,,72.15393900000001,351.574651,0.0
1062.167129,5964.301876,4000.0,,0.0,,90.000346,359.999654,1.0
1062.167129,5964.301876,4000.0,,0.0,,90.000346,270.0,2.0
1062.167129,5964.301876,4000.0,,0.0,,89.998654,132.00016200000002,3.0
1062.167129,5964.301876,4000.0,,0.0,s0,-58.186186,377.626785,4.0
8463.582746,6606.351268,4000.0,,0.0,,58.186186,377.626785,0.0
8463.582746,6606.351268,4000.0,,0.0,,90.000346,359.999654,1.0
8463.582746,6606.351268,4000.0,,0.0,,90.000346,270.0,2.0
8463.582746,6606.351268,4000.0,,0.0,,89.998654,132.00016200000002,3.0
8463.582746,6606.351268,4000.0,,0.0,s0,-67.231499,371.011985,4.0
2806.073223,966.641425,4000.0,,0.0,,67.231499,371.011985,0.0
2806.073223,966.641425,4000.0,,0.0,,90.000346,359.999654,1.0
2806.073223,966.641425,4000.0,,0.0,,90.000346,270.0,2.0
2806.073223,966.641425,4000.0,,0.0,,89.998654,132.00016200000002,3.0
2806.073223,966.641425,4000.0,,0.0,s0,-71.55102,188.732639,4.0
1074.708954,4217.979561,4000.0,,0.0,,71.55102,188.732639,0.0
1074.708954,4217.979561,4000.0,,0.0,,90.000346,359.999654,1.0
1074.708954,4217.979561,4000.0,,0.0,,90.000346,270.0,2.0
1074.708954,4217.979561,4000.0,,0.0,,89.998654,132.00016200000002,3.0
1074.708954,4217.979561,4000.0,,0.0,,57.22234,368.425413,4.0
8799.098061,704.423549,4000.0,,0.0,,57.22234,368.425413,0.0
8799.098061,704.423549,4000.0,,0.0,,90.000346,359.999654,1.0
8799.098061,704.423549,4000.0,,0.0,,90.000346,270.0,2.0
8799.098061,704.423549,4000.0,,0.0,fault,89.998654,132.00016200000002,3.0
8799.098061,704.423549,4000.0,,0.0,s0,-57.585302,347.293089,4.0
2860.048586,3732.735347,4000.0,,0.0,,57.585302,347.293089,0.0
2860.048586,3732.735347,4000.0,,0.0,,90.000346,359.999654,1.0
2860.048586,3732.735347,4000.0,,0.0,,90.000346,270.0,2.0
2860.048586,3732.735347,4000.0,,0.0,,89.998654,132.00016200000002,3.0
2860.048586,3732.735347,4000.0,,0.0,s0,-71.400513,175.608327,4.0
8792.083273999999,5442.932736,4000.0,,0.0,,71.400513,175.608327,0.0
8792.083273999999,5442.932736,4000.0,,0.0,,90.000346,359.999654,1.0
8792.083273999999,5442.932736,4000.0,,0.0,,90.000346,270.0,2.0
8792.083273999999,5442.932736,4000.0,,0.0,,89.998654,132.00016200000002,3.0
8792.083273999999,5442.932736,4000.0,,0.0,,58.186186,377.626785,4.0
989.051203,548.253967,4000.0,,0.0,,58.186186,377.626785,0.0
989.051203,548.253967,4000.0,,0.0,,89.999654,179.999654,1.0
989.051203,548.253967,4000.0,,0.0,,90.000346,270.0,2.0
989.051203,548.253967,4000.0,,0.0,,89.998654,132.00016200000002,3.0
989.051203,548.253967,4000.0,,0.0,s0,-67.28649200000001,348.222667,4.0
6087.582486,1365.451242,4000.0,,0.0,,67.28649200000001,348.222667,0.0
6087.582486,1365.451242,4000.0,,0.0,,90.000346,359.999654,1.0
6087.582486,1365.451242,4000.0,,0.0,,90.000346,270.0,2.0
6087.582486,1365.451242,4000.0,,0.0,,89.998654,132.00016200000002,3.0
6087.582486,1365.451242,4000.0,,0.0,,67.954364,351.936093,4.0
3267.987279,2240.238072,4000.0,,0.0,,67.954364,351.936093,0.0
3267.987279,2240.238072,4000.0,,0.0,s1,89.999654,-179.999654,1.0
3267.987279,2240.238072,4000.0,,0.0,,90.000346,270.0,2.0
3267.987279,2240.238072,4000.0,,0.0,,89.998654,132.00016200000002,3.0
3267.987279,2240.238072,4000.0,,0.0,s0,-73.15735500000001,183.949773,4.0
8039.873328,3786.979032,4000.0,,0.0,,73.15735500000001,183.949773,0.0
8039.873328,3786.979032,4000.0,,0.0,,90.000346,359.999654,1.0
8039.873328,3786.979032,4000.0,,0.0,,90.000346,270.0,2.0
8039.873328,3786.979032,4000.0,,0.0,,89.998654,132.00016200000002,3.0
8039.873328,3786.979032,4000.0,,0.0,,73.198536,366.277724,4.0
7593.091148,6906.383175,4000.0,,0.0,,73.198536,366.277724,0.0
7593.091148,6906.383175,4000.0,,0.0,,89.999654,179.999654,1.0
